,PID,Surv,Sex,Age,Fare,Cabin,hello
689,690,1,female,15.0,211.3375,B5,hello
690,691,1,male,31.0,57.0,B20,hello
691,692,1,female,4.0,13.4167,,hello
692,693,1,male,,56.4958,,hello
693,694,0,male,25.0,7.225,,hello
694,695,0,male,60.0,26.55,,hello
695,696,0,male,52.0,13.5,,hello
696,697,0,male,44.0,8.05,,hello
697,698,1,female,,7.7333,,hello
698,699,0,male,49.0,110.8833,C68,hello
699,700,0,male,42.0,7.65,F G63,hello
700,701,1,female,18.0,227.525,C62 C64,hello
701,702,1,male,35.0,26.2875,E24,hello
702,703,0,female,18.0,14.4542,,hello
703,704,0,male,25.0,7.7417,,hello
704,705,0,male,26.0,7.8542,,hello
705,706,0,male,39.0,26.0,,hello
706,707,1,female,45.0,13.5,,hello
707,708,1,male,42.0,26.2875,E24,hello
708,709,1,female,22.0,151.55,,hello
709,710,1,male,,15.2458,,hello
710,711,1,female,24.0,49.5042,C90,hello
711,712,0,male,,26.55,C124,hello
712,713,1,male,48.0,52.0,C126,hello
713,714,0,male,29.0,9.4833,,hello
714,715,0,male,52.0,13.0,,hello
715,716,0,male,19.0,7.65,F G73,hello
716,717,1,female,38.0,227.525,C45,hello
717,718,1,female,27.0,10.5,E101,hello
718,719,0,male,,15.5,,hello
719,720,0,male,33.0,7.775,,hello
720,721,1,female,6.0,33.0,,hello
721,722,0,male,17.0,7.0542,,hello
722,723,0,male,34.0,13.0,,hello
723,724,0,male,50.0,13.0,,hello
724,725,1,male,27.0,53.1,E8,hello
725,726,0,male,20.0,8.6625,,hello
726,727,1,female,30.0,21.0,,hello
727,728,1,female,,7.7375,,hello
728,729,0,male,25.0,26.0,,hello
729,730,0,female,25.0,7.925,,hello
730,731,1,female,29.0,211.3375,B5,hello
731,732,0,male,11.0,18.7875,,hello
732,733,0,male,,0.0,,hello
733,734,0,male,23.0,13.0,,hello
734,735,0,male,23.0,13.0,,hello
735,736,0,male,28.5,16.1,,hello
736,737,0,female,48.0,34.375,,hello
737,738,1,male,35.0,512.3292,B101,hello
738,739,0,male,,7.8958,,hello
739,740,0,male,,7.8958,,hello
740,741,1,male,,30.0,D45,hello
741,742,0,male,36.0,78.85,C46,hello
742,743,1,female,21.0,262.375,B57 B59 B63 B66,hello
743,744,0,male,24.0,16.1,,hello
744,745,1,male,31.0,7.925,,hello
745,746,0,male,70.0,71.0,B22,hello
746,747,0,male,16.0,20.25,,hello
747,748,1,female,30.0,13.0,,hello
748,749,0,male,19.0,53.1,D30,hello
749,750,0,male,31.0,7.75,,hello
750,751,1,female,4.0,23.0,,hello
751,752,1,male,6.0,12.475,E121,hello
752,753,0,male,33.0,9.5,,hello
753,754,0,male,23.0,7.8958,,hello
754,755,1,female,48.0,65.0,,hello
755,756,1,male,0.67,14.5,,hello
756,757,0,male,28.0,7.7958,,hello
757,758,0,male,18.0,11.5,,hello
758,759,0,male,34.0,8.05,,hello
759,760,1,female,33.0,86.5,B77,hello
760,761,0,male,,14.5,,hello
761,762,0,male,41.0,7.125,,hello
762,763,1,male,20.0,7.2292,,hello
763,764,1,female,36.0,120.0,B96 B98,hello
764,765,0,male,16.0,7.775,,hello
765,766,1,female,51.0,77.9583,D11,hello
766,767,0,male,,39.6,,hello
767,768,0,female,30.5,7.75,,hello
768,769,0,male,,24.15,,hello
769,770,0,male,32.0,8.3625,,hello
770,771,0,male,24.0,9.5,,hello
771,772,0,male,48.0,7.8542,,hello
772,773,0,female,57.0,10.5,E77,hello
773,774,0,male,,7.225,,hello
774,775,1,female,54.0,23.0,,hello
775,776,0,male,18.0,7.75,,hello
776,777,0,male,,7.75,F38,hello
777,778,1,female,5.0,12.475,,hello
778,779,0,male,,7.7375,,hello
779,780,1,female,43.0,211.3375,B3,hello
780,781,1,female,13.0,7.2292,,hello
781,782,1,female,17.0,57.0,B20,hello
782,783,0,male,29.0,30.0,D6,hello
783,784,0,male,,23.45,,hello
784,785,0,male,25.0,7.05,,hello
785,786,0,male,25.0,7.25,,hello
786,787,1,female,18.0,7.4958,,hello
787,788,0,male,8.0,29.125,,hello
788,789,1,male,1.0,20.575,,hello
789,790,0,male,46.0,79.2,B82 B84,hello
790,791,0,male,,7.75,,hello
791,792,0,male,16.0,26.0,,hello
792,793,0,female,,69.55,,hello
793,794,0,male,,30.6958,,hello
794,795,0,male,25.0,7.8958,,hello
795,796,0,male,39.0,13.0,,hello
796,797,1,female,49.0,25.9292,D17,hello
797,798,1,female,31.0,8.6833,,hello
798,799,0,male,30.0,7.2292,,hello
799,800,0,female,30.0,24.15,,hello
800,801,0,male,34.0,13.0,,hello
801,802,1,female,31.0,26.25,,hello
802,803,1,male,11.0,120.0,B96 B98,hello
803,804,1,male,0.42,8.5167,,hello
804,805,1,male,27.0,6.975,,hello
805,806,0,male,31.0,7.775,,hello
806,807,0,male,39.0,0.0,A36,hello
807,808,0,female,18.0,7.775,,hello
808,809,0,male,39.0,13.0,,hello
809,810,1,female,33.0,53.1,E8,hello
810,811,0,male,26.0,7.8875,,hello
811,812,0,male,39.0,24.15,,hello
812,813,0,male,35.0,10.5,,hello
813,814,0,female,6.0,31.275,,hello
814,815,0,male,30.5,8.05,,hello
815,816,0,male,,0.0,B102,hello
816,817,0,female,23.0,7.925,,hello
817,818,0,male,31.0,37.0042,,hello
818,819,0,male,43.0,6.45,,hello
819,820,0,male,10.0,27.9,,hello
820,821,1,female,52.0,93.5,B69,hello
821,822,1,male,27.0,8.6625,,hello
822,823,0,male,38.0,0.0,,hello
823,824,1,female,27.0,12.475,E121,hello
824,825,0,male,2.0,39.6875,,hello
825,826,0,male,,6.95,,hello
826,827,0,male,,56.4958,,hello
827,828,1,male,1.0,37.0042,,hello
828,829,1,male,,7.75,,hello
829,830,1,female,62.0,80.0,B28,hello
830,831,1,female,15.0,14.4542,,hello
831,832,1,male,0.83,18.75,,hello
832,833,0,male,,7.2292,,hello
833,834,0,male,23.0,7.8542,,hello
834,835,0,male,18.0,8.3,,hello
835,836,1,female,39.0,83.1583,E49,hello
836,837,0,male,21.0,8.6625,,hello
837,838,0,male,,8.05,,hello
838,839,1,male,32.0,56.4958,,hello
839,840,1,male,,29.7,C47,hello
840,841,0,male,20.0,7.925,,hello
841,842,0,male,16.0,10.5,,hello
842,843,1,female,30.0,31.0,,hello
843,844,0,male,34.5,6.4375,,hello
844,845,0,male,17.0,8.6625,,hello
845,846,0,male,42.0,7.55,,hello
846,847,0,male,,69.55,,hello
847,848,0,male,35.0,7.8958,,hello
848,849,0,male,28.0,33.0,,hello
849,850,1,female,,89.1042,C92,hello
850,851,0,male,4.0,31.275,,hello
851,852,0,male,74.0,7.775,,hello
852,853,0,female,9.0,15.2458,,hello
853,854,1,female,16.0,39.4,D28,hello
854,855,0,female,44.0,26.0,,hello
855,856,1,female,18.0,9.35,,hello
856,857,1,female,45.0,164.8667,,hello
857,858,1,male,51.0,26.55,E17,hello
858,859,1,female,24.0,19.2583,,hello
859,860,0,male,,7.2292,,hello
860,861,0,male,41.0,14.1083,,hello
861,862,0,male,21.0,11.5,,hello
862,863,1,female,48.0,25.9292,D17,hello
863,864,0,female,,69.55,,hello
864,865,0,male,24.0,13.0,,hello
865,866,1,female,42.0,13.0,,hello
866,867,1,female,27.0,13.8583,,hello
867,868,0,male,31.0,50.4958,A24,hello
868,869,0,male,,9.5,,hello
869,870,1,male,4.0,11.1333,,hello
870,871,0,male,26.0,7.8958,,hello
871,872,1,female,47.0,52.5542,D35,hello
872,873,0,male,33.0,5.0,B51 B53 B55,hello
873,874,0,male,47.0,9.0,,hello
874,875,1,female,28.0,24.0,,hello
875,876,1,female,15.0,7.225,,hello
876,877,0,male,20.0,9.8458,,hello
877,878,0,male,19.0,7.8958,,hello
878,879,0,male,,7.8958,,hello
879,880,1,female,56.0,83.1583,C50,hello
880,881,1,female,25.0,26.0,,hello
881,882,0,male,33.0,7.8958,,hello
882,883,0,female,22.0,10.5167,,hello
883,884,0,male,28.0,10.5,,hello
884,885,0,male,25.0,7.05,,hello
885,886,0,female,39.0,29.125,,hello
886,887,0,male,27.0,13.0,,hello
887,888,1,female,19.0,30.0,B42,hello
888,889,0,female,,23.45,,hello
889,890,1,male,26.0,30.0,C148,hello
890,891,0,male,32.0,7.75,,hello
